date,age_of_inventory,total_new_listings,total_active_listings,inventory,total_homes_sold,total_homes_sold_with_price_drops,average_sale_to_list_ratio,percent_homes_sold_with_price_drops,homes_delisted,median_new_listing_price,median_days_on_market,median_days_to_close,median_sale_price,months_of_supply,pending_sales,percent_off_market_in_two_weeks,percent_homes_sold_above_list,price_drops
2021-11-30,70.4,1491.6,28622.2,26667.8,1547.8,506.2,0.9904639792599943,0.32732331469264697,550.2,666300.0,58.4,67.6,649800.0,19.081260486403455,950.8,0.18458852525408562,0.2564292905934319,980.4
2021-12-31,84.75,866.0,25153.25,23428.75,1664.75,545.25,0.9915753391121719,0.3273577382937152,536.75,659362.375,58.875,66.0,650000.0,15.278943077032647,762.0,0.18029738522826017,0.259602302580216,538.0
2022-01-31,89.6,1702.4,23348.4,21653.8,1530.8,518.2,0.9898276879214162,0.33824635117088986,440.6,695500.0,61.4,72.4,666650.0,15.309674991474074,777.8,0.2698764895999052,0.23816924658347016,683.4
2022-02-28,75.0,2057.0,23962.75,22288.25,1424.0,512.75,0.9888472560722293,0.3603952288749708,366.75,702624.75,65.75,75.25,665875.0,17.033773280995995,859.0,0.3302417230812953,0.23197547041771482,781.25
2022-03-31,54.75,2415.5,25764.25,23829.0,1489.5,482.0,0.9939519812176715,0.3244520210429725,410.75,719349.75,65.0,68.25,689625.0,17.392590234441144,1133.75,0.3101973493926838,0.2581877272649318,848.75
2022-04-30,52.5,2388.0,27238.25,25371.5,1425.0,409.0,1.0010364523563924,0.28634689148102715,387.0,739000.0,60.5,64.125,683625.0,19.234293934074294,1180.75,0.259984649130971,0.3191140339404001,1031.5
2022-05-31,53.8,2395.4,29492.4,27609.0,1553.4,420.8,1.0057523701918287,0.2710989176208799,437.2,725899.8,50.2,63.0,697000.0,19.00239659504182,1177.0,0.24812230130678267,0.3338958434597073,1161.0
2022-06-30,58.0,2162.75,30855.0,28915.0,1781.5,446.25,1.0093114801316532,0.2523237576406432,550.25,693499.75,42.75,66.25,708162.5,17.625022707577838,1108.0,0.18637982691609675,0.36959416407444595,1334.0
2022-07-31,65.5,1861.0,31000.5,29206.25,1702.25,417.0,1.0057078370141785,0.24354725229386182,523.75,687875.0,41.75,68.0,710000.0,18.652099870686193,972.25,0.1681042398246783,0.3641163838676756,1235.0
2022-08-31,75.4,1437.2,29715.2,27959.2,1616.4,449.6,1.001527132515284,0.2776696277754046,535.6,670368.8,42.8,63.0,700000.0,18.43908931272386,872.6,0.15994295488850127,0.32798815300243367,996.8
2022-09-30,80.5,1896.25,29270.5,27695.5,1412.0,439.25,0.993371245679152,0.3111890821477419,531.0,744498.75,49.5,62.75,683555.5,20.826010626327534,695.5,0.15794569664309963,0.27761194247591203,1248.5
2022-10-31,81.2,1496.8,29089.8,27531.4,1291.8,439.8,0.9889389046553866,0.3398112007622135,536.0,715857.4,57.4,62.2,669650.0,22.62154915314934,671.4,0.15942955913974072,0.25545031578159744,1249.4
2022-11-30,82.75,1062.0,27456.5,26011.25,1123.75,389.0,0.9873352674544276,0.3496073910138526,562.25,695999.875,60.75,60.375,658725.0,25.33151690123238,565.75,0.1233917488778075,0.24646008952637752,1195.5
2022-12-31,96.5,631.5,24682.5,23311.75,1111.0,394.5,0.9840934991240102,0.3566481423511659,562.25,639749.75,62.0,59.5,649750.0,22.713009645810374,482.75,0.1028568555269915,0.23076452491727614,515.75
2023-01-31,104.4,1274.2,22871.6,21539.8,944.0,370.0,0.9823612218013793,0.39217477516325144,469.0,701488.8,67.0,64.9,657200.0,24.551366669374197,456.2,0.19048415671650348,0.20436574254133227,875.8
2023-02-28,98.75,1530.5,22609.5,21261.75,874.5,358.0,0.9823624715021513,0.4082817654182368,357.0,748097.0,76.0,63.25,643500.0,26.370585232613365,559.0,0.252342226357472,0.19253614360111232,674.5
2023-03-31,70.75,1790.0,23411.5,21917.25,942.25,386.75,0.985193818678772,0.410419486499069,359.5,749624.875,79.75,55.375,656750.0,25.193023984885574,763.25,0.2666415399269951,0.22558381790577425,774.0
2023-04-30,63.0,1783.75,24100.0,22651.0,1003.5,380.25,0.990105658811007,0.38033247061198344,329.75,780750.0,77.0,56.75,668374.875,24.343510750147757,833.5,0.2273569792759755,0.240371787325037,801.25
2023-05-31,61.6,1855.4,25232.8,23682.4,1121.0,385.0,0.9960586689694606,0.3434462549842513,378.4,758400.0,61.5,59.0,699200.0,22.53996113663291,881.4,0.2241295296388252,0.27620157994283073,907.4
2023-06-30,65.0,1600.5,25507.0,23915.25,1325.0,397.25,1.0025601754495816,0.3034018296877331,452.5,736985.75,51.25,61.25,707500.0,19.79265111741597,870.0,0.1846312834553038,0.31931652705165314,906.0
2023-07-31,72.6,1461.8,25052.2,23691.2,1252.6,368.2,1.0041067741443415,0.2932918003578791,408.0,712760.0,48.4,62.2,714100.0,20.55082892985516,704.6,0.1734302823951029,0.33207960985587687,784.2
2023-08-31,80.25,1252.0,24888.75,23644.0,1327.25,393.5,1.0025363454330658,0.2966666950193051,384.25,706624.875,49.0,63.625,731250.0,18.84060006305181,619.75,0.17799545742340644,0.3334392416275461,702.0
